alpha0,lambda_s,boundary_fraction,recovered
0.1000,0.1000,0.636799,1
0.3714,0.1000,0.700634,1
0.6429,0.1000,0.637781,1
0.9143,0.1000,0.699229,1
1.1857,0.1000,0.639063,1
1.4571,0.1000,0.666739,1
1.7286,0.1000,0.597143,0
2.0000,0.1000,0.631652,0
0.1000,0.3714,0.728978,1
0.3714,0.3714,0.637554,0
0.6429,0.3714,0.726009,1
0.9143,0.3714,0.743801,1
1.1857,0.3714,0.645471,0
1.4571,0.3714,0.638359,0
1.7286,0.3714,0.637100,0
2.0000,0.3714,0.637288,0
0.1000,0.6429,0.694006,0
0.3714,0.6429,0.647087,0
0.6429,0.6429,0.725893,0
0.9143,0.6429,0.758229,0
1.1857,0.6429,0.637559,0
1.4571,0.6429,0.637561,0
1.7286,0.6429,0.637554,0
2.0000,0.6429,0.637558,0
0.1000,0.9143,0.701442,0
0.3714,0.9143,0.675776,0
0.6429,0.9143,0.705664,0
0.9143,0.9143,0.755451,0
1.1857,0.9143,0.740800,0
1.4571,0.9143,0.637562,0
1.7286,0.9143,0.637551,0
2.0000,0.9143,0.637562,0
0.1000,1.1857,0.703646,0
0.3714,1.1857,0.683826,0
0.6429,1.1857,0.673783,0
0.9143,1.1857,0.752310,0
1.1857,1.1857,0.648959,0
1.4571,1.1857,0.637562,0
1.7286,1.1857,0.637542,0
2.0000,1.1857,0.637562,0
0.1000,1.4571,0.695650,0
0.3714,1.4571,0.735716,0
0.6429,1.4571,0.637556,0
0.9143,1.4571,0.729734,0
1.1857,1.4571,0.639961,0
1.4571,1.4571,0.637562,0
1.7286,1.4571,0.637562,0
2.0000,1.4571,0.637562,0
0.1000,1.7286,0.684923,0
0.3714,1.7286,0.752022,1
0.6429,1.7286,0.637562,0
0.9143,1.7286,0.637562,0
1.1857,1.7286,0.638608,0
1.4571,1.7286,0.637562,0
1.7286,1.7286,0.637562,0
2.0000,1.7286,0.637562,0
0.1000,2.0000,0.668752,0
0.3714,2.0000,0.751328,1
0.6429,2.0000,0.675251,0
0.9143,2.0000,0.637477,0
1.1857,2.0000,0.637562,0
1.4571,2.0000,0.637562,0
1.7286,2.0000,0.637562,0
2.0000,2.0000,0.637562,0
