chi,damage_scale,boundary_fraction,recovered
0.0500,0.0200,0.637370,1
0.2571,0.0200,0.683573,1
0.4643,0.0200,0.707825,1
0.6714,0.0200,0.637553,0
0.8786,0.0200,0.654377,0
1.0857,0.0200,0.637369,0
1.2929,0.0200,0.638853,0
1.5000,0.0200,0.664995,0
0.0500,0.0886,0.650922,1
0.2571,0.0886,0.683189,1
0.4643,0.0886,0.706230,1
0.6714,0.0886,0.637554,0
0.8786,0.0886,0.654066,0
1.0857,0.0886,0.637369,0
1.2929,0.0886,0.638659,0
1.5000,0.0886,0.664863,0
0.0500,0.1571,0.651847,1
0.2571,0.1571,0.683806,1
0.4643,0.1571,0.671863,1
0.6714,0.1571,0.637554,0
0.8786,0.1571,0.683900,0
1.0857,0.1571,0.647025,0
1.2929,0.1571,0.638130,0
1.5000,0.1571,0.663669,0
0.0500,0.2257,0.651917,1
0.2571,0.2257,0.684403,1
0.4643,0.2257,0.669083,1
0.6714,0.2257,0.637408,0
0.8786,0.2257,0.636544,0
1.0857,0.2257,0.633704,0
1.2929,0.2257,0.638363,0
1.5000,0.2257,0.663540,0
0.0500,0.2943,0.651841,1
0.2571,0.2943,0.684771,1
0.4643,0.2943,0.668913,1
0.6714,0.2943,0.678725,0
0.8786,0.2943,0.636463,0
1.0857,0.2943,0.637085,0
1.2929,0.2943,0.638454,0
1.5000,0.2943,0.663498,0
0.0500,0.3629,0.651704,1
0.2571,0.3629,0.682191,1
0.4643,0.3629,0.667429,1
0.6714,0.3629,0.699422,0
0.8786,0.3629,0.637439,0
1.0857,0.3629,0.637480,0
1.2929,0.3629,0.638448,0
1.5000,0.3629,0.663480,0
0.0500,0.4314,0.651475,1
0.2571,0.4314,0.677748,1
0.4643,0.4314,0.658230,0
0.6714,0.4314,0.699440,0
0.8786,0.4314,0.637224,0
1.0857,0.4314,0.637496,0
1.2929,0.4314,0.638323,0
1.5000,0.4314,0.663472,0
0.0500,0.5000,0.651236,1
0.2571,0.5000,0.666651,1
0.4643,0.5000,0.642753,0
0.6714,0.5000,0.729339,1
0.8786,0.5000,0.637330,0
1.0857,0.5000,0.636466,0
1.2929,0.5000,0.638247,0
1.5000,0.5000,0.663476,0
